ID,adj.P.Val,P.Value,B,Gene.symbol,AveExpr,logFC
10375570,0.01780601,0.000436954,0.461469786,Olfr1383,5.526301675,0.95943609
10564622,0.019102411,0.000504488,0.305519901,Gm10619,4.812675982,0.959034605
10560655,0.013906548,0.000259648,1.023272739,Bcam,7.395194776,0.958989301
10439989,0.019148307,0.000513252,0.286809862,,6.26716446,0.955537364
10593469,0.014107191,0.000268913,0.985592195,Mir34c,4.008834295,0.954417353
10584819,0.016318396,0.000368995,0.644473706,,7.725001595,0.95144426
10499948,0.012837129,0.000223319,1.18494662,Lce3a,5.113947042,0.947545696
10554743,0.01961549,0.000543566,0.224438961,,3.160639336,0.945022295
10604859,0.019148307,0.000510205,0.293278636,,4.145421695,0.93365937
10542518,0.016394556,0.000372484,0.634299382,,6.771152031,0.929532724
10405747,0.016265658,0.000365826,0.653798195,,5.384657723,0.925417905
10378038,0.016844448,0.000390582,0.5829787,Wscd1,5.858186962,0.920572848
10442254,0.016265658,0.00036553,0.654673354,,9.221353441,0.910111114
10485131,0.018248265,0.000465736,0.392289188,Gyltl1b,6.150502761,0.906830011
10540075,0.02015904,0.000574535,0.164168929,Hdac11,6.299438315,0.901672811
10592465,0.013039741,0.000234146,1.134216406,Olfr983,5.256089106,0.899017127
10459066,0.017853411,0.000439798,0.454437575,Gm4841,5.546079679,0.898622744
10498403,0.018967051,0.000497094,0.321557233,B430305J03Rik,5.985321711,0.895901061
10414863,0.018830307,0.000491885,0.332996555,,5.76363347,0.877654585
10461274,0.016246205,0.000358482,0.675714352,Ints5,8.213566156,0.877626086
10559172,0.019549457,0.000539619,0.232362062,Krtap5-3,8.900988455,0.834686329
10484545,0.018384788,0.0004739,0.373431622,Olfr1012,5.034824465,0.818832592
10343989,0.019322868,0.000525876,0.260407032,,8.394878566,0.807074096
10476998,0.019148307,0.000513796,0.285660236,Gm14149,4.260522464,0.801424945
10553813,0.018293155,0.000468907,0.384926704,Ube3a///LOC619378///C230091D08Rik///Ube3a///Srebf2///P3h3,9.437052656,-0.829993649
10352562,0.019209277,0.000521126,0.270266475,Gpatch2,7.69610147,-0.839831501
10574166,0.020276095,0.00058215,0.149840476,Cpne2,7.932904396,-0.845772224
10408487,0.019148307,0.000514578,0.284007001,Uqcrfs1,8.75503704,-0.846727901
10496302,0.01897498,0.000497848,0.319911857,Manba,6.133163794,-0.865692929
10403258,0.015625105,0.000327246,0.774151731,Gdi2,10.60846259,-0.893514299
10596265,0.017773769,0.000435652,0.4647058,Dnajc13,10.65494738,-0.893694554
10339426,0.019817425,0.000557009,0.197871958,,11.7578247,-0.899241577
10593198,0.019148307,0.00051173,0.290036142,Nxpe2,5.55871871,-0.899988017
10339059,0.016868318,0.000391621,0.580104584,,2.438396446,-0.903740198
10344324,0.015400661,0.000320773,0.795702547,,9.525639406,-0.917959988
10351111,0.016318396,0.000368871,0.644836609,Dnm3os,6.093021427,-0.930479159
10601449,0.020178918,0.000577811,0.15798195,Sh3bgrl,7.306845236,-0.930685021
10578448,0.018150303,0.000453235,0.421803108,Cyp4v3///Klkb1,6.03248679,-0.950682422
10388517,0.019148307,0.000516746,0.279439107,Gemin4,6.480140689,-0.953448712
10384603,0.018324436,0.000470763,0.380639604,Mdh1,9.578316068,-0.954054592
10405539,0.02015904,0.00057531,0.162702923,Txndc15,8.22978249,-0.969671682
10461022,0.020059536,0.000567853,0.176896626,Ppp1r14b,10.63870118,-0.981674692
10585932,0.018175103,0.000454378,0.419073372,Pkm,9.841956995,-0.992639408
10340662,0.017139896,0.000408881,0.53341506,,4.69167465,-0.99578936
10540676,0.014741707,0.000291781,0.897787254,Jagn1,7.625490016,-0.999887841
10585545,0.016265658,0.000362546,0.663533469,Rcn2,8.822837911,-1.005441539
10498296,0.019412782,0.000532232,0.247347828,Commd2,7.587850851,-1.021191636
10486710,0.017452347,0.000422836,0.497064352,Lcmt2,7.828086425,-1.023053015
10453562,0.019961419,0.000563972,0.184357335,Sft2d1,9.320240315,-1.02472815
10416533,0.020274665,0.000581526,0.151008222,Ccdc122,4.818145637,-1.025511412
10360884,0.009652367,0.00011996,1.845772704,Iars2,7.517071196,-1.036635138
10378833,0.018238921,0.000462426,0.400028214,Ssh2,8.405199943,-1.037431124
10479458,0.019936741,0.000561509,0.189118258,Gid8,8.330096844,-1.039131324
10608708,0.010933827,0.000152836,1.58940752,,8.454058112,-1.040412467
10606473,0.019092714,0.000503683,0.307255315,Gm9927,3.812800763,-1.051157778
10420516,0.018238921,0.000462056,0.400896165,Cdadc1,8.45792286,-1.056637262
10455227,0.02015904,0.000574774,0.163716992,Rnf14,9.238290517,-1.064418274
10379068,0.015941597,0.000344153,0.719778082,Sdf2,8.759508821,-1.07826284
10376733,0.018223797,0.000456119,0.414923903,Map2k3,7.883656531,-1.089754739
10602164,0.011698092,0.000185769,1.381723623,Rbbp7,11.0242313,-1.091410545
10403871,0.01961549,0.000544214,0.223143527,Aoah///Aoah,5.023357618,-1.093228286
10496621,0.012692153,0.000218717,1.207245601,Gtf2b,9.493093312,-1.097645309
10372600,0.014879357,0.00030007,0.867618179,Cct2,10.85405942,-1.097856189
10590690,0.015163864,0.000311915,0.825898232,Dync2h1,6.949445945,-1.101204489
10404429,0.018626791,0.000484961,0.348388177,Serpinb9,4.889836494,-1.102313231
10340460,0.019056164,0.00050217,0.31052178,,9.464702121,-1.107907363
10455656,0.017986328,0.000446036,0.439167038,Hsd17b4,9.143875425,-1.119914999
10356262,0.01529189,0.000315428,0.81382276,LOC101055758///LOC101055663///LOC671917///Gm7609///Sp100,6.060885655,-1.125106029
10605952,0.017245773,0.000415764,0.515334966,Gm14866,5.604697088,-1.12769309
10538684,0.019648661,0.000548308,0.214993313,Tigd2,7.665324628,-1.128231387
10424404,0.018405691,0.00047805,0.363970009,Pvt1,5.928938287,-1.130923132
10458398,0.012380019,0.000204025,1.28163059,Hars,8.901490055,-1.140557017
10338437,0.018238921,0.000463169,0.398284994,,9.758884836,-1.141835746
10387890,0.016692048,0.000385865,0.596125544,Cxcl16,5.792984629,-1.142977354
10434845,0.016050306,0.000348992,0.704699784,Il1rap,8.128967294,-1.146059139
10389326,0.018238921,0.000457867,0.410774287,Pigw,6.631281218,-1.148065872
